State,Year,Food Insecurity Rate,Food Insecurity Rate among Black Persons,Food Insecurity Rate among Hispanic Persons,Food Insecurity Rate among White Persons,Child Food Insecurity Rate,Cost Per Meal
AL,2019,0.168238806,0.272923077,0.127,0.133939394,0.230373134,3.134029851
AL,2020,0.161283582,0.27609375,0.145882353,0.108181818,0.23,3.245373134
AL,2021,0.149955224,0.265873016,0.128181818,0.110769231,0.198358209,3.571343284
AL,2022,0.17661194,0.30859375,0.192647059,0.13203125,0.255074627,4.002686567
AK,2019,0.147827586,0.163333333,0.135555556,0.091666667,0.200827586,3.986551724
AK,2020,0.1342,0.166666667,0.151111111,0.075833333,0.181966667,4.140333333
AK,2021,0.125866667,0.15,0.114444444,0.0792,0.154233333,4.662333333
AK,2022,0.1421,0.203333333,0.18,0.094615385,0.1913,5.105666667
AZ,2019,0.157666667,0.227,0.180666667,0.123333333,0.2292,3.131333333
AZ,2020,0.147533333,0.228888889,0.178,0.098,0.218266667,3.210666667
AZ,2021,0.1282,0.214,0.146666667,0.094666667,0.174066667,3.521333333
AZ,2022,0.158666667,0.255555556,0.206666667,0.122666667,0.226933333,3.882666667
AR,2019,0.17432,0.259148936,0.208285714,0.158,0.238853333,2.873733333
AR,2020,0.164493333,0.252173913,0.196923077,0.135866667,0.228466667,2.972533333
AR,2021,0.160053333,0.248666667,0.184473684,0.143466667,0.206973333,3.328266667
AR,2022,0.19184,0.304666667,0.233888889,0.1656,0.265373333,3.6976
CA,2019,0.115982759,0.18175,0.155357143,0.086206897,0.160862069,3.568103448
CA,2020,0.116655172,0.18425,0.162181818,0.064137931,0.164344828,3.827931034
CA,2021,0.105862069,0.179268293,0.135636364,0.069137931,0.135396552,4.129655172
CA,2022,0.128758621,0.22952381,0.195,0.093793103,0.174775862,4.524482759
CO,2019,0.11090625,0.117857143,0.183673469,0.09625,0.142390625,3.456875
CO,2020,0.106546875,0.132857143,0.190425532,0.072539683,0.147171875,3.58921875
CO,2021,0.102140625,0.130714286,0.1775,0.07734375,0.12140625,3.931875
CO,2022,0.127515625,0.184285714,0.230222222,0.099206349,0.16290625,4.35171875
CT,2019,0.10925,0.23,0.245,0.07875,0.129375,3.65
CT,2020,0.11,0.2225,0.24625,0.0625,0.130125,3.90625
CT,2021,0.103,0.2125,0.21125,0.0675,0.10375,4.165
CT,2022,0.128111111,0.242222222,0.264444444,0.09,0.154444444,4.561111111
DE,2019,0.113666667,0.176666667,0.193333333,0.093333333,0.162,3.34
DE,2020,0.111333333,0.18,0.19,0.073333333,0.177666667,3.52
DE,2021,0.102333333,0.17,0.186666667,0.08,0.155,3.803333333
DE,2022,0.13,0.223333333,0.25,0.1,0.204666667,4.2
DC,2019,0.103,0.19,0.08,0.02,0.165,4.35
DC,2020,0.098,0.2,0.11,,0.162,4.49
DC,2021,0.091,0.19,0.09,0,0.14,4.74
DC,2022,0.113,0.24,0.15,0.02,0.17,5.25
FL,2019,0.133462687,0.215846154,0.137090909,0.106567164,0.194910448,3.366865672
FL,2020,0.126492537,0.21,0.14,0.08358209,0.178955224,3.477910448
FL,2021,0.113402985,0.193833333,0.111272727,0.086567164,0.152850746,3.806567164
FL,2022,0.139149254,0.240166667,0.175357143,0.111940299,0.207537313,4.188208955
GA,2019,0.144283019,0.209858156,0.159101124,0.110754717,0.189345912,3.105408805
GA,2020,0.133811321,0.200492958,0.169642857,0.089056604,0.177534591,3.249496855
GA,2021,0.121823899,0.185531915,0.141139241,0.089746835,0.151779874,3.518238994
GA,2022,0.151968553,0.226950355,0.206966292,0.112911392,0.216823899,3.964716981
HI,2019,0.1272,,0.17,0.0925,0.1804,3.762
HI,2020,0.1398,,0.19,0.075,0.2424,4.178
HI,2021,0.1272,,0.1625,0.0775,0.1698,5.196
HI,2022,0.1324,,0.2275,0.1,0.2136,5.62
ID,2019,0.111818182,,0.1676,0.106511628,0.137863636,3.264772727
ID,2020,0.10275,,0.179565217,0.085116279,0.133840909,3.677727273
ID,2021,0.094454545,,0.1648,0.085348837,0.111727273,4.050454545
ID,2022,0.123681818,,0.2232,0.105581395,0.163840909,4.477272727
IL,2019,0.111872549,0.206097561,0.153125,0.098039216,0.144284314,2.910882353
IL,2020,0.108882353,0.205909091,0.1704,0.077843137,0.133666667,3.083431373
IL,2021,0.098156863,0.208,0.141372549,0.082254902,0.104235294,3.483235294
IL,2022,0.129392157,0.267142857,0.206981132,0.106568627,0.162882353,3.900294118
IN,2019,0.12548913,0.225714286,0.177142857,0.119673913,0.15623913,2.84076087
IN,2020,0.12125,0.211666667,0.190204082,0.098913043,0.152380435,2.95076087
IN,2021,0.106597826,0.197419355,0.17,0.103152174,0.115065217,3.284130435
IN,2022,0.139576087,0.251333333,0.229615385,0.126521739,0.169652174,3.692934783
IA,2019,0.087949495,0.268333333,0.146410256,0.082929293,0.128707071,3.034141414
IA,2020,0.079494949,0.267333333,0.149285714,0.064040404,0.118292929,3.184141414
IA,2021,0.077424242,,0.128695652,0.069292929,0.099919192,3.584040404
IA,2022,0.108333333,,0.192142857,0.094141414,0.157454545,3.944646465
KS,2019,0.120038095,0.221333333,0.173902439,0.110096154,0.174590476,3.082
KS,2020,0.104285714,0.236875,0.18025,0.086990291,0.154638095,3.14552381
KS,2021,0.09512381,0.246428571,0.159230769,0.087087379,0.130742857,3.528571429
KS,2022,0.129371429,0.29,0.225641026,0.109423077,0.192552381,3.951904762
KY,2019,0.164075,0.210851064,0.190344828,0.163416667,0.208116667,2.848583333
KY,2020,0.155458333,0.210697674,0.183793103,0.140666667,0.190233333,2.906
KY,2021,0.143408333,0.193421053,0.164,0.140166667,0.164275,3.227166667
KY,2022,0.175358333,0.249761905,0.217941176,0.164583333,0.227083333,3.605083333
LA,2019,0.161296875,0.234444444,0.171944444,0.12359375,0.245171875,3.04828125
LA,2020,0.153828125,0.234285714,0.18,0.1034375,0.240328125,3.171875
LA,2021,0.141421875,0.226031746,0.151388889,0.11140625,0.21078125,3.52625
LA,2022,0.170140625,0.268730159,0.209677419,0.13609375,0.260359375,3.93515625
ME,2019,0.1310625,,,0.134375,0.1995,3.91
ME,2020,0.118375,,,0.111875,0.186625,3.905
ME,2021,0.1118125,,,0.113125,0.1600625,4.078125
ME,2022,0.137375,,,0.1375,0.2045,4.4425
MD,2019,0.115458333,0.191304348,0.121818182,0.075,0.156416667,3.387083333
MD,2020,0.108666667,0.193913043,0.120434783,0.055416667,0.138791667,3.581666667
MD,2021,0.104041667,0.184782609,0.103181818,0.060416667,0.115291667,3.904583333
MD,2022,0.127333333,0.231304348,0.162608696,0.082083333,0.161583333,4.313333333
MA,2019,0.081642857,0.183333333,0.1625,0.071428571,0.095285714,3.933571429
MA,2020,0.091785714,0.2025,0.177692308,0.052857143,0.126,4.201428571
MA,2021,0.0765,0.199166667,0.1475,0.056428571,0.0835,4.447142857
MA,2022,0.098928571,0.245833333,0.196666667,0.077857143,0.128714286,4.878571429
MI,2019,0.139542169,0.247058824,0.18745098,0.127228916,0.153722892,3.105662651
MI,2020,0.138939759,0.252820513,0.202592593,0.103855422,0.159759036,3.262891566
MI,2021,0.124542169,0.265588235,0.167222222,0.105903614,0.122843373,3.564096386
MI,2022,0.153927711,0.3203125,0.199821429,0.129036145,0.176493976,3.948072289
MN,2019,0.088310345,0.262916667,0.212307692,0.069425287,0.136229885,3.227356322
MN,2020,0.07754023,0.2524,0.202307692,0.050689655,0.115758621,3.313218391
MN,2021,0.068816092,0.2604,0.183454545,0.055287356,0.08837931,3.757126437
MN,2022,0.099896552,0.294583333,0.245769231,0.076781609,0.146183908,4.181494253
MS,2019,0.192963415,0.281219512,0.16952381,0.13675,0.245304878,3.070731707
MS,2020,0.181890244,0.274146341,0.2324,0.112051282,0.243085366,3.145609756
MS,2021,0.16995122,0.261392405,0.198888889,0.119102564,0.21102439,3.428170732
MS,2022,0.193,0.302839506,0.273333333,0.142948718,0.258597561,3.838780488
MO,2019,0.149295652,0.291176471,0.154146341,0.129130435,0.172208696,2.951043478
MO,2020,0.136582609,0.2925,0.144878049,0.106956522,0.160521739,3.052086957
MO,2021,0.131443478,0.277666667,0.131052632,0.111130435,0.137852174,3.442173913
MO,2022,0.160321739,0.327333333,0.189534884,0.133565217,0.188356522,3.858
MT,2019,0.105625,,0.156153846,0.093461538,0.167642857,3.229285714
MT,2020,0.099410714,,0.165454545,0.07509434,0.161303571,3.317678571
MT,2021,0.090321429,,0.134545455,0.07745098,0.1375,3.741964286
MT,2022,0.123035714,,0.191818182,0.103461538,0.190285714,4.161964286
NE,2019,0.120634409,0.288571429,0.2175,0.099204545,0.169311828,3.098709677
NE,2020,0.103075269,0.308571429,0.217586207,0.080229885,0.139935484,3.130430108
NE,2021,0.098688172,0.304,0.198888889,0.086117647,0.123731183,3.488924731
NE,2022,0.136172043,0.36,0.284615385,0.108977273,0.19544086,3.831935484
NV,2019,0.119176471,0.193333333,0.157272727,0.104375,0.175647059,3.311176471
NV,2020,0.116294118,0.172,0.166,0.081875,0.155705882,3.424117647
NV,2021,0.104352941,0.2075,0.128,0.08625,0.128058824,3.734117647
NV,2022,0.140470588,0.24,0.195555556,0.111875,0.181529412,4.131764706
NH,2019,0.0933,0.086666667,0.224,0.096,0.1296,3.727
NH,2020,0.0916,0.086,0.227777778,0.073,0.1335,3.83
NH,2021,0.0772,,0.206,0.074,0.1023,3.972
NH,2022,0.1051,,0.267,0.097,0.1554,4.358
NJ,2019,0.084142857,0.144285714,0.165238095,0.055714286,0.101428571,3.631428571
NJ,2020,0.094619048,0.153333333,0.171428571,0.036666667,0.125380952,3.874761905
NJ,2021,0.078714286,0.143809524,0.143809524,0.041904762,0.084238095,4.061904762
NJ,2022,0.100285714,0.191428571,0.195238095,0.066666667,0.123238095,4.486666667
NM,2019,0.153181818,0.209090909,0.1659375,0.115483871,0.241,3.158484848
NM,2020,0.148454545,0.18,0.175333333,0.098064516,0.234818182,3.25969697
NM,2021,0.142727273,0.2025,0.152333333,0.097741935,0.208151515,3.595151515
NM,2022,0.163969697,0.26,0.214666667,0.117419355,0.244272727,3.961212121
NY,2019,0.113596774,0.201956522,0.198909091,0.083225806,0.170467742,3.357741935
NY,2020,0.112887097,0.209591837,0.201607143,0.063225806,0.157209677,3.602096774
NY,2021,0.097548387,0.197826087,0.180377358,0.066451613,0.117822581,3.874354839
NY,2022,0.124677419,0.2374,0.241754386,0.091612903,0.161758065,4.282258065
NC,2019,0.14845,0.239662921,0.215316456,0.1159,0.2123,3.0719
NC,2020,0.14244,0.23755814,0.208974359,0.091616162,0.20914,3.2135
NC,2021,0.12834,0.222873563,0.18525641,0.092020202,0.17662,3.5601
NC,2022,0.15474,0.272790698,0.233924051,0.1145,0.2262,3.9746
ND,2019,0.062301887,,,0.048679245,0.103735849,3.356981132
ND,2020,0.055377358,,,0.030943396,0.095264151,3.277358491
ND,2021,0.055962264,,,0.038076923,0.082886792,3.646415094
ND,2022,0.086943396,,,0.062115385,0.13490566,4.06754717
OH,2019,0.135943182,0.219230769,0.19557377,0.124204545,0.176522727,2.908068182
OH,2020,0.131556818,0.213846154,0.191311475,0.103863636,0.170863636,3.058977273
OH,2021,0.120670455,0.21245283,0.168333333,0.107045455,0.136772727,3.455681818
OH,2022,0.147977273,0.26212766,0.233703704,0.127613636,0.191079545,3.856590909
OK,2019,0.151194805,0.232631579,0.17442623,0.138961039,0.214779221,3.047532468
OK,2020,0.144350649,0.231470588,0.1795,0.118961039,0.206116883,3.164415584
OK,2021,0.137363636,0.235625,0.150327869,0.123766234,0.181415584,3.52025974
OK,2022,0.16887013,0.281612903,0.212666667,0.145714286,0.236545455,3.942987013
OR,2019,0.124805556,0.24125,0.217666667,0.119722222,0.171583333,3.421111111
OR,2020,0.114666667,0.260909091,0.210344828,0.094722222,0.165166667,3.606388889
OR,2021,0.106638889,0.22625,0.179333333,0.100277778,0.136666667,4.009166667
OR,2022,0.138638889,0.292222222,0.233333333,0.123888889,0.193305556,4.3225
PA,2019,0.112373134,0.243,0.193818182,0.099104478,0.157656716,3.206119403
PA,2020,0.112313433,0.231052632,0.207307692,0.079104478,0.16019403,3.396865672
PA,2021,0.100283582,0.223846154,0.18,0.081343284,0.12319403,3.688059701
PA,2022,0.125298507,0.28375,0.234716981,0.103283582,0.171567164,4.091343284
RI,2019,0.0864,0.18,0.15,0.078,0.1194,3.954
RI,2020,0.0884,0.19,0.148,0.058,0.1236,4.174
RI,2021,0.071,0.186,0.136,0.06,0.0858,4.356
RI,2022,0.091,0.214,0.184,0.082,0.118,4.732
SC,2019,0.114413043,0.190434783,0.148181818,0.098695652,0.17576087,3.011304348
SC,2020,0.112413043,0.190652174,0.156666667,0.077391304,0.186369565,3.155652174
SC,2021,0.102304348,0.191521739,0.125,0.080869565,0.160043478,3.409782609
SC,2022,0.136173913,0.247391304,0.191818182,0.106304348,0.221,3.807826087
SD,2019,0.116212121,,0.130909091,0.082698413,0.175242424,3.271818182
SD,2020,0.101045455,,0.135833333,0.064666667,0.151984848,3.378333333
SD,2021,0.096272727,,0.107777778,0.071,0.129060606,3.784242424
SD,2022,0.124742424,,0.159,0.094,0.185984848,4.162272727
TN,2019,0.150010526,0.225,0.225961538,0.138210526,0.176515789,3.151894737
TN,2020,0.146031579,0.229107143,0.2238,0.115368421,0.175989474,3.261157895
TN,2021,0.130884211,0.2142,0.180980392,0.117368421,0.134789474,3.561894737
TN,2022,0.161821053,0.2502,0.2375,0.141473684,0.1914,3.997894737
TX,2019,0.150964567,0.23826087,0.179308756,0.108666667,0.213744094,2.879724409
TX,2020,0.149444882,0.247719298,0.192837209,0.086329114,0.2115,2.930669291
TX,2021,0.144141732,0.236752137,0.16787037,0.089656652,0.186165354,3.247440945
TX,2022,0.17307874,0.290446429,0.233256881,0.111361702,0.235905512,3.56984252
UT,2019,0.124965517,,0.187894737,0.11,0.154,3.207931034
UT,2020,0.114793103,,0.208571429,0.087931034,0.149344828,3.187241379
UT,2021,0.105965517,,0.172,0.09137931,0.120758621,3.582068966
UT,2022,0.136482759,,0.207058824,0.117586207,0.179344828,4.007241379
VT,2019,0.105142857,,,0.111428571,0.146,3.931428571
VT,2020,0.101214286,,,0.088571429,0.145,4.045714286
VT,2021,0.089571429,,,0.091428571,0.112714286,4.237142857
VT,2022,0.118,,,0.111428571,0.160642857,4.592857143
VA,2019,0.108142857,0.159622642,0.15671875,0.091052632,0.145157895,3.248796992
VA,2020,0.104962406,0.171428571,0.167567568,0.067894737,0.14724812,3.368571429
VA,2021,0.093654135,0.169705882,0.135223881,0.071428571,0.117646617,3.671879699
VA,2022,0.12356391,0.21125,0.197428571,0.096287879,0.172571429,4.108646617
WA,2019,0.124820513,0.225294118,0.198529412,0.10974359,0.181,3.42974359
WA,2020,0.116589744,0.214375,0.214848485,0.084358974,0.180230769,3.69025641
WA,2021,0.101333333,0.210625,0.187575758,0.085641026,0.144307692,3.928974359
WA,2022,0.135051282,0.238666667,0.248125,0.108461538,0.198487179,4.311538462
WV,2019,0.1394,0.225238095,,0.144,0.204563636,2.941636364
WV,2020,0.1364,0.211764706,,0.123818182,0.201672727,3.021818182
WV,2021,0.120963636,0.233529412,,0.127818182,0.154709091,3.340363636
WV,2022,0.1492,0.275,,0.150181818,0.206745455,3.729272727
WI,2019,0.097388889,0.255714286,0.209215686,0.073943662,0.158166667,3.090694444
WI,2020,0.089666667,0.249583333,0.212641509,0.055070423,0.148458333,3.227777778
WI,2021,0.076625,0.238,0.175185185,0.059014085,0.112527778,3.630555556
WI,2022,0.107986111,0.294,0.236481481,0.085070423,0.165402778,4.095694444
WY,2019,0.121043478,,0.14,0.11826087,0.153652174,3.336521739
WY,2020,0.110347826,,0.146428571,0.096086957,0.142521739,3.432173913
WY,2021,0.106391304,,0.114666667,0.098695652,0.124304348,3.796521739
WY,2022,0.140434783,,0.183076923,0.126086957,0.188478261,4.194782609
